Model,PA,mPA,IoU-Background,IoU-Leaf,mIoU,mP,Params (M),Inference Time (ms)
EfficientNetB0,99.15315824620424,99.125773497742,98.72386951748867,97.54444094241322,98.13415522995095,98.99004839479578,7.940522,22.51
MobileNetV4,98.78504939300264,98.70939782661799,98.1744525172576,96.49489123409718,97.33467187567739,98.58645436513811,6.46867,23.14945697784424
MobileNetV3,99.22224582034869,99.14779593121095,98.82872743181072,97.73745960778005,98.28309351979539,99.11894936831354,6.155846,25.835323333740234
MobilenetV2,99.14322402171247,99.09588779235763,98.70950769833934,97.51409612318092,98.11180191076012,98.99662715354573,7.151462,24.26370620727539
StarNet,98.46307391321449,98.33029918009792,97.69721087640502,95.58290958906242,96.64006023273373,98.24686600480854,6.922502,29.396605491638184
Sim_MobileNetV3,99.22783000281157,99.1940902969913,98.8361056327723,97.75717927608093,98.29664245442662,99.08706237779101,4.836462,20.623486042022705
