Model,mPA,IoU (Background),IoU (Leaf),mIoU,Params (M),Inference Time (ms)
Segformer,96.54008037596978,95.51265927287209,91.41816830199146,93.46541378743176,3.714658,24.982635974884033
DeepLapV3+,99.1091890515707,98.69565865689536,97.49115444613453,98.09340655151495,5.198182,24.64839220046997
Pspnet,98.74948644062714,98.13440094786773,96.39344300448221,97.26392197617497,2.375874,16.6656231880188
Hrnet,99.02250983084643,98.63451026728457,97.36777489067472,98.00114257897965,9.636512,35.26374340057373
UNet,98.76061264548207,98.34886737468389,96.812134921384,97.58050114803393,24.89,50
